size_m2,location,year_built,num_rooms,near_main_road,water_available,electricity_available,record_year,rent_price_rwf
323,Kiyovu,2020,2,1,1,1,2024,1713382
253,Gacuriro,2013,5,1,1,1,2022,1530106
253,Gisozi,2016,5,0,1,1,2026,975684
257,Kanombe,2024,5,1,1,1,2023,623779
119,Kicukiro,2019,3,1,1,1,2023,547556
344,Kiyovu,2006,3,1,1,1,2023,1546744
329,Kanombe,2011,5,0,1,1,2024,849500
324,Kanombe,2003,3,0,0,1,2023,547544
58,Nyarutarama,2001,1,1,1,1,2023,674394
254,Kacyiru,2023,1,1,1,0,2025,1009499
35,Kacyiru,1998,3,1,1,1,2023,383084
236,Kimironko,2022,2,1,0,1,2022,481649
341,Kicukiro,2024,3,1,1,1,2021,861938
132,Kanombe,2018,1,1,1,1,2024,358795
380,Kimironko,2012,3,1,1,1,2022,1009552
47,Gisozi,2019,4,1,1,1,2023,295336
74,Gacuriro,2010,6,1,0,0,2022,796867
149,Kanombe,2005,6,1,1,1,2021,485175
263,Nyarutarama,2011,5,0,1,1,2024,1586831
391,Gisozi,2003,1,0,1,1,2026,954405
253,Kimironko,2020,4,1,1,1,2021,694756
384,Kanombe,2015,1,0,0,0,2021,224178
36,Nyarutarama,2006,5,1,1,1,2024,1004622
248,Gacuriro,1996,1,1,1,1,2026,1515974
346,Kimironko,2024,4,1,0,1,2024,1104680
396,Kimihurura,2000,6,1,1,1,2021,1259166
154,Gacuriro,1995,1,1,0,0,2023,589638
271,Nyarutarama,2015,3,1,1,1,2023,1498450
93,Kacyiru,2013,3,1,1,1,2025,613895
41,Kiyovu,2021,3,1,1,1,2021,557563
277,Kacyiru,2014,5,0,0,1,2021,647208
292,Gisozi,2002,2,1,1,1,2026,762286
282,Kicukiro,2013,5,1,0,1,2023,609413
274,Nyarutarama,1995,5,1,1,0,2024,1643056
252,Remera,2004,1,0,0,1,2023,669805
301,Gisozi,1995,6,1,1,1,2023,770721
357,Remera,2019,5,1,1,0,2023,1233617
323,Kiyovu,2006,6,1,1,1,2026,2468331
166,Kicukiro,2009,1,1,1,1,2021,262894
165,Kanombe,2012,1,1,0,1,2022,215018
370,Gacuriro,2006,4,0,1,1,2023,1588911
109,Gacuriro,1997,3,1,1,1,2022,766231
261,Remera,2007,6,1,1,1,2026,1484409
306,Kanombe,2007,3,1,1,1,2024,602762
345,Kicukiro,2011,4,1,1,1,2026,1105214
182,Kacyiru,2017,2,1,1,1,2024,979713
363,Kiyovu,1995,6,1,1,1,2022,1810147
73,Kimironko,2022,4,0,1,1,2024,547022
359,Remera,2024,5,1,1,1,2025,1589274
97,Kimironko,1998,1,1,0,1,2024,366160
70,Gisozi,2002,3,1,1,1,2022,436320
231,Kimironko,1997,6,1,1,1,2023,747633
279,Gisozi,1995,6,1,1,1,2026,1264309
168,Kanombe,2000,2,1,0,1,2026,415347
362,Kanombe,2024,3,1,1,0,2021,630204
245,Kacyiru,2018,3,1,1,1,2023,1011381
121,Gacuriro,2001,2,1,1,1,2021,733781
202,Kicukiro,1999,6,1,1,1,2024,832415
169,Nyarutarama,2021,6,0,1,1,2023,1311760
249,Kimironko,2021,1,1,0,1,2024,868569
132,Gisozi,2006,2,1,1,1,2022,296397
396,Gacuriro,2019,3,1,0,1,2022,1530461
351,Kimihurura,1997,1,0,0,1,2026,1260478
38,Kacyiru,1997,2,1,0,1,2022,526734
34,Kimihurura,2014,5,1,1,1,2024,903162
331,Kimironko,2018,1,0,1,1,2025,832830
314,Gacuriro,2018,3,0,1,1,2021,978372
312,Nyarutarama,2002,4,1,1,1,2022,1485728
90,Kicukiro,2000,2,0,1,1,2024,533495
234,Kicukiro,2000,1,1,0,1,2024,631658
162,Kanombe,1998,1,1,1,0,2026,415419
281,Kiyovu,2003,4,1,1,1,2025,1760210
342,Kacyiru,2013,4,0,1,1,2022,962435
99,Kanombe,1998,6,1,0,1,2026,775278
317,Kiyovu,2002,4,1,1,1,2021,1276668
102,Gacuriro,1998,6,1,0,1,2024,1232796
161,Kiyovu,2022,3,0,0,1,2023,770340
182,Gacuriro,2007,3,0,1,1,2023,1081438
327,Remera,2008,4,1,1,1,2023,1131206
55,Nyarutarama,2005,4,1,0,1,2026,1179695
144,Kanombe,2015,1,0,1,1,2025,382909
214,Kimironko,2012,3,1,0,1,2022,611914
278,Kimironko,2008,6,1,1,1,2025,1297634
93,Kanombe,2016,2,1,1,1,2021,143354
154,Kimihurura,1995,6,1,1,1,2024,1454010
135,Kanombe,2006,1,1,0,1,2021,109592
272,Kimironko,2017,3,1,1,1,2021,711909
164,Gisozi,1997,3,0,1,0,2026,462021
153,Kimironko,2024,3,1,1,1,2023,782373
121,Nyarutarama,2012,5,1,1,0,2026,1586208
276,Kiyovu,1995,5,0,1,1,2025,1608521
33,Kimironko,2021,3,1,0,1,2025,474890
380,Kimironko,2013,1,1,1,1,2024,1089600
95,Nyarutarama,2014,2,1,1,1,2025,1025566
260,Nyarutarama,2023,1,1,1,1,2025,1775580
62,Kicukiro,2013,1,1,0,0,2024,297539
359,Gacuriro,2014,1,1,0,1,2024,1571015
30,Kanombe,2016,4,1,1,1,2022,494162
121,Kiyovu,2018,6,1,1,1,2025,1484779
45,Kicukiro,2008,4,1,0,1,2025,393550
316,Kanombe,2012,2,1,1,1,2025,640366
83,Kanombe,1995,1,1,1,1,2023,476409
293,Kimihurura,2005,3,1,1,1,2025,1557883
317,Kimihurura,2008,5,0,1,1,2021,1265926
373,Kimihurura,2014,6,0,1,1,2025,1957794
73,Kimihurura,2003,3,1,0,1,2022,463279
381,Kimihurura,1997,2,1,0,1,2021,1023131
83,Kanombe,2019,1,1,1,1,2022,257036
205,Kacyiru,2018,6,1,0,1,2023,990526
246,Kimironko,2015,6,1,1,1,2026,1408801
123,Kimironko,2010,6,1,1,1,2022,647864
317,Kimihurura,1996,5,0,0,1,2022,963352
66,Remera,2007,2,1,1,1,2021,436292
316,Kanombe,2003,2,1,1,1,2023,712277
305,Kanombe,2014,6,0,1,1,2022,693497
390,Kiyovu,1998,6,1,1,1,2022,1857998
168,Gacuriro,2015,3,0,1,1,2026,1330018
148,Nyarutarama,2002,3,1,0,1,2025,1287493
365,Remera,2018,6,1,1,0,2026,1887930
300,Remera,2023,5,1,1,1,2026,1715898
148,Gisozi,2004,1,1,1,1,2026,476107
384,Nyarutarama,2019,6,1,1,1,2023,2274324
346,Kimihurura,1999,3,1,1,1,2022,1368193
207,Gisozi,2005,5,1,1,1,2024,851301
183,Kimironko,2017,3,1,0,1,2022,757778
214,Remera,2007,1,1,1,1,2021,691830
34,Remera,2002,5,1,1,1,2021,404139
65,Kacyiru,1995,1,1,1,1,2022,425336
156,Kimihurura,2005,1,0,1,1,2026,901791
169,Remera,2011,2,0,1,1,2021,466289
274,Kacyiru,2020,1,0,1,1,2026,1249678
218,Kicukiro,2002,5,1,1,0,2024,779470
231,Kiyovu,2001,6,0,1,1,2021,1171456
383,Kimironko,2021,5,1,0,1,2021,923852
195,Kiyovu,2008,1,1,1,1,2025,1049993
307,Nyarutarama,1995,3,1,1,1,2023,1651039
355,Nyarutarama,2016,2,1,1,1,2023,1742517
143,Gisozi,1997,2,0,1,1,2025,460659
42,Kacyiru,2024,2,1,1,1,2023,352618
47,Gisozi,2021,6,1,1,1,2023,583740
334,Remera,2024,3,1,0,1,2026,1478762
262,Gacuriro,2021,4,1,0,1,2023,1381102
154,Kimironko,2012,4,1,0,0,2026,905407
105,Kimironko,2019,1,1,1,1,2021,464359
319,Kanombe,2002,3,1,1,1,2026,759431
287,Gisozi,2004,6,1,1,1,2023,735846
327,Remera,2001,6,1,1,1,2026,1708009
73,Nyarutarama,1998,6,1,1,1,2022,991482
110,Remera,2015,3,0,1,1,2025,743163
296,Kicukiro,2012,4,1,0,1,2025,783602
52,Gacuriro,2022,2,0,1,1,2023,542168
393,Remera,2019,4,1,0,1,2023,1315656
176,Gacuriro,1995,1,1,0,1,2026,1130777
89,Kanombe,2005,3,0,1,1,2022,303498
177,Gisozi,2004,6,0,1,0,2026,737495
195,Kiyovu,2008,3,1,1,1,2024,1387220
182,Kanombe,2012,4,1,1,1,2024,490699
357,Remera,2018,6,0,1,1,2022,1171567
398,Kimihurura,2015,4,1,0,0,2026,2140769
363,Kiyovu,2003,1,0,0,1,2024,1448437
355,Kanombe,2012,3,1,0,1,2025,833727
152,Kanombe,2004,4,1,1,1,2023,409211
288,Kacyiru,2023,3,0,1,1,2021,512198
35,Kiyovu,1998,2,1,1,1,2023,544281
317,Nyarutarama,1996,4,1,0,1,2021,1154394
385,Kicukiro,2022,6,1,1,1,2023,1229134
390,Kimihurura,1999,6,1,0,0,2026,2030619
239,Nyarutarama,2024,3,1,1,0,2023,1198171
363,Kimihurura,2023,5,1,1,1,2022,1484888
206,Kiyovu,2019,5,1,0,1,2025,1813803
314,Gacuriro,2015,5,1,0,1,2026,2342881
293,Nyarutarama,2010,3,1,1,1,2025,2272054
326,Kimihurura,2012,1,1,1,1,2021,905045
379,Kimironko,2023,6,0,0,1,2023,1162614
203,Kacyiru,1998,4,1,0,1,2021,587093
74,Kimihurura,1995,3,1,1,1,2021,398690
273,Kacyiru,2024,1,1,1,1,2026,1226650
395,Kacyiru,2001,3,0,1,1,2022,827564
297,Kimihurura,2023,1,0,0,1,2026,1414820
329,Kiyovu,2024,3,0,0,1,2022,1145051
166,Kicukiro,1995,5,1,1,1,2021,516923
248,Kimihurura,2018,1,1,1,1,2022,1000402
392,Kicukiro,2000,1,1,1,1,2025,789733
209,Remera,2007,3,0,1,1,2023,547430
335,Kiyovu,2016,6,0,1,1,2021,1331716
269,Kicukiro,2006,3,1,1,1,2023,570366
233,Kimironko,1998,4,1,1,1,2024,734027
303,Gisozi,1998,4,0,1,1,2023,402417
226,Gisozi,2018,2,1,1,1,2021,431829
206,Nyarutarama,2019,6,0,1,1,2023,1519223
245,Remera,2020,6,1,1,0,2021,741868
129,Remera,2013,5,1,1,1,2025,1123022
375,Remera,2020,4,1,1,1,2022,1099268
73,Kicukiro,2004,5,1,0,1,2023,533236
259,Gisozi,1995,4,1,1,1,2025,879909
173,Kiyovu,2023,3,1,1,1,2021,791555
134,Kacyiru,2014,5,1,1,1,2022,784126
121,Kacyiru,2011,4,1,1,1,2026,1037860
134,Nyarutarama,2001,6,1,1,1,2022,1228383
261,Kicukiro,2001,4,1,0,1,2021,610520
206,Kanombe,2017,1,1,1,1,2025,550318
255,Kicukiro,2007,1,1,1,1,2026,754498
353,Gisozi,2023,3,1,1,1,2022,676467
365,Kiyovu,2024,6,0,1,1,2024,1998722
155,Kacyiru,2000,6,1,0,0,2024,673049
96,Nyarutarama,2009,5,0,1,1,2026,1523951
44,Kacyiru,2024,5,1,1,1,2021,487134
110,Kimihurura,2003,1,1,1,1,2026,960371
59,Kacyiru,2022,2,1,0,1,2021,334255
386,Kacyiru,2007,3,1,0,1,2024,1131975
299,Remera,2009,4,0,1,1,2026,1369247
137,Nyarutarama,1999,3,1,0,1,2024,1105094
330,Nyarutarama,2013,6,0,1,1,2025,2289344
210,Remera,2015,5,0,1,1,2026,1440316
128,Remera,2012,5,1,1,1,2026,1185989
323,Kicukiro,2023,2,0,0,1,2023,681805
136,Kimihurura,2010,5,1,1,1,2025,1320538
79,Kimironko,1997,3,1,1,1,2022,513280
256,Remera,2022,2,1,0,1,2025,961576
52,Gacuriro,1999,6,0,1,1,2024,1090196
289,Kimironko,2005,6,1,1,1,2023,1181738
230,Kiyovu,2003,5,0,1,1,2025,1789274
186,Kiyovu,2006,1,1,1,1,2026,1323491
196,Kiyovu,2008,5,0,1,1,2022,1070039
251,Gacuriro,2023,5,1,1,1,2023,1554194
31,Nyarutarama,1999,4,1,1,1,2022,760852
360,Remera,2001,5,1,1,1,2026,1764855
356,Gisozi,2008,6,0,1,1,2025,1092478
59,Gisozi,1995,4,1,1,1,2023,197918
142,Remera,1996,6,1,0,1,2022,646921
157,Kimihurura,2008,4,1,1,1,2023,976475
102,Kiyovu,2017,3,1,1,1,2025,1129282
182,Nyarutarama,2003,3,0,1,1,2026,1564737
58,Kimironko,2003,6,0,1,1,2022,408233
50,Kicukiro,2007,2,0,1,1,2022,323910
57,Kimironko,2000,4,1,1,1,2023,516484
48,Kimihurura,1996,1,1,1,0,2023,283699
380,Nyarutarama,1996,5,0,1,1,2026,2815853
363,Kimironko,2017,1,0,1,1,2024,894635
245,Kimihurura,2017,2,1,1,1,2023,1092554
183,Gacuriro,2006,1,1,0,1,2023,865474
47,Kicukiro,2011,3,1,1,1,2025,620727
371,Gisozi,2022,2,1,1,1,2021,574012
207,Gisozi,2014,5,1,1,1,2026,862487
378,Kacyiru,2013,4,1,1,1,2021,1030168
86,Nyarutarama,2002,3,1,0,1,2026,1201023
342,Kacyiru,1995,4,1,1,1,2021,992014
155,Nyarutarama,2013,4,1,0,1,2023,1178787
227,Kacyiru,2004,3,0,1,1,2024,827690
62,Kanombe,2006,1,1,1,1,2025,420261
144,Gacuriro,2010,4,0,0,1,2025,1067818
173,Kimihurura,2007,6,1,0,1,2022,1229383
154,Nyarutarama,2007,1,1,1,1,2026,1189596
211,Kimihurura,2005,1,1,1,0,2025,1085458
151,Kimihurura,2004,4,1,1,1,2026,1284383
300,Gacuriro,2019,4,1,1,1,2022,1378015
83,Kimihurura,2020,4,1,1,1,2023,710494
295,Kacyiru,2000,1,1,1,1,2025,987022
233,Kanombe,2015,4,0,1,1,2023,469169
147,Gacuriro,2019,3,0,0,0,2021,592133
125,Gacuriro,2018,1,1,1,1,2024,1045726
379,Kacyiru,2006,2,1,1,1,2026,1585362
120,Kacyiru,1998,3,1,1,1,2021,338572
58,Nyarutarama,2009,6,1,0,1,2023,1177609
91,Kanombe,2007,3,1,1,1,2021,317400
53,Kacyiru,2002,2,0,1,1,2025,421152
249,Remera,2023,4,1,1,1,2025,1540417
355,Kimihurura,2024,1,1,1,1,2022,1201879
158,Kiyovu,2020,1,1,1,1,2021,766624
81,Gisozi,1995,5,1,1,1,2022,317499
149,Kicukiro,1995,1,1,1,1,2026,303124
283,Gisozi,2011,5,1,1,1,2024,894038
284,Nyarutarama,2016,1,1,1,1,2024,1702200
110,Kimihurura,2007,4,0,1,1,2022,716450
231,Nyarutarama,2018,4,1,1,1,2022,1365121
124,Nyarutarama,2021,1,0,0,1,2022,542705
226,Kimironko,2020,2,0,1,1,2021,505348
52,Nyarutarama,2009,6,1,1,1,2021,821438
108,Remera,2008,4,1,1,1,2025,1015263
208,Gisozi,2023,2,1,1,0,2024,595228
55,Gacuriro,2003,5,0,1,1,2026,1191728
330,Kicukiro,1995,3,1,0,1,2023,779665
41,Kicukiro,2004,6,0,1,1,2024,508664
56,Kimironko,1997,5,1,1,1,2023,683017
194,Gisozi,2000,2,0,1,0,2021,274839
290,Kimihurura,2002,6,1,1,1,2023,1509023
33,Kicukiro,2009,3,1,1,1,2021,188566
33,Gacuriro,1996,4,1,1,1,2025,704808
97,Kicukiro,1998,1,1,1,0,2023,242057
165,Remera,1998,5,0,1,1,2026,1121736
100,Kacyiru,2020,1,1,1,1,2025,639305
204,Remera,2007,2,1,1,1,2022,776197
348,Kimihurura,1995,1,1,1,1,2023,1066529
394,Kimironko,2014,4,0,1,1,2021,881063
35,Nyarutarama,2014,3,1,1,1,2025,1144363
311,Kimironko,2014,1,0,1,1,2023,776669
119,Nyarutarama,2015,6,1,1,1,2023,1421121
76,Gisozi,2005,4,1,1,1,2022,443095
362,Remera,2020,3,1,1,0,2022,1161927
228,Kicukiro,2013,1,1,1,1,2026,649340
289,Kiyovu,2002,5,1,1,1,2022,1403375
76,Kimironko,2022,1,0,1,1,2022,404050
396,Kiyovu,2015,2,0,1,1,2023,1565953
142,Remera,2008,5,1,1,1,2023,864181
366,Kiyovu,2003,3,1,1,1,2022,1310814
263,Kiyovu,2016,3,1,1,1,2024,1503716
116,Kimironko,1996,2,1,0,1,2022,289543
112,Gisozi,2014,3,1,1,1,2024,412849
373,Kimironko,2007,4,0,1,1,2021,679380
145,Kicukiro,2024,4,1,1,1,2022,570016
222,Nyarutarama,1999,2,0,0,1,2024,973269
220,Kicukiro,2002,1,1,1,1,2023,442040
46,Kacyiru,1998,6,1,1,1,2025,667918
145,Kimihurura,2003,5,1,0,1,2022,856119
336,Kimironko,2024,2,1,1,1,2022,777484
357,Nyarutarama,2013,2,1,1,1,2026,2317055
266,Kicukiro,2022,1,1,1,1,2025,831817
393,Kacyiru,1995,3,0,1,1,2026,1437522
57,Kimihurura,2006,4,0,1,1,2022,452772
317,Kicukiro,2014,3,1,0,1,2021,544822
128,Remera,2023,3,0,1,1,2025,693091
329,Kacyiru,2000,6,0,1,1,2024,1344883
102,Kimironko,2005,4,0,1,1,2021,487041
355,Kimihurura,2001,3,0,1,0,2022,860837
365,Nyarutarama,2017,2,1,0,1,2026,2331880
146,Nyarutarama,2006,1,1,1,0,2022,594707
287,Remera,2003,5,1,1,1,2025,1354374
59,Kacyiru,1997,1,1,1,1,2025,465345
59,Kimironko,2000,1,1,1,1,2024,379091
350,Nyarutarama,2007,6,0,1,1,2025,2294110
315,Kimironko,2019,5,1,0,1,2025,1090872
189,Kimihurura,2017,2,1,1,1,2025,1070637
213,Kiyovu,2004,3,1,1,1,2023,1174719
91,Kacyiru,2004,1,1,1,1,2023,618312
164,Kicukiro,2004,2,1,1,1,2024,585483
284,Gisozi,2022,2,0,1,1,2022,520379
30,Kacyiru,1997,3,1,1,1,2023,596564
202,Gisozi,2020,1,0,1,1,2023,493705
81,Kanombe,2015,1,0,0,1,2024,256728
213,Kacyiru,2017,6,1,1,0,2022,666555
355,Kicukiro,2003,1,1,1,1,2024,854413
41,Kicukiro,2024,4,1,1,1,2022,562711
33,Remera,2012,3,1,1,1,2021,365238
39,Kanombe,2020,3,0,1,1,2026,339904
270,Kimihurura,2014,6,0,1,1,2021,931109
70,Gacuriro,2020,6,1,1,1,2026,1813957
176,Nyarutarama,2011,2,0,1,0,2025,927562
234,Kimironko,2021,3,1,1,1,2025,969932
155,Kiyovu,1996,5,0,1,1,2022,757606
40,Kanombe,2010,2,1,0,1,2024,356531
184,Kacyiru,1996,3,1,1,1,2025,1079693
61,Kimihurura,2013,6,1,1,1,2025,1213028
229,Kiyovu,2004,4,1,1,1,2021,967757
291,Kanombe,2005,5,1,1,1,2023,626995
257,Kimironko,2019,6,1,0,1,2022,909016
264,Kacyiru,2017,4,1,1,0,2022,988891
277,Remera,1996,5,0,1,0,2026,1340045
326,Kimihurura,2001,3,1,1,1,2026,1815192
379,Kiyovu,2021,3,0,1,1,2026,2355278
349,Kimihurura,2022,2,1,1,1,2022,1172094
145,Kanombe,2013,6,0,1,1,2025,541425
200,Nyarutarama,2001,1,0,1,1,2022,926728
399,Kimihurura,2015,4,1,0,1,2024,1707858
94,Gacuriro,2021,5,1,1,1,2021,966327
182,Kicukiro,2010,3,1,1,1,2024,647659
156,Kiyovu,2017,4,0,1,1,2026,1550356
222,Kimironko,2020,4,0,1,1,2025,701854
104,Kiyovu,1995,4,1,1,1,2023,940688
37,Gisozi,2014,6,1,1,1,2024,667726
138,Nyarutarama,2018,1,1,0,1,2024,939525
105,Kicukiro,2010,1,1,1,1,2023,355455
227,Kanombe,2015,3,1,1,1,2026,890162
192,Kicukiro,1999,6,1,1,1,2025,1102402
222,Gacuriro,2016,4,1,0,1,2023,1367790
263,Kiyovu,2013,3,0,1,1,2023,1154240
309,Kimironko,2006,1,0,1,0,2021,420172
161,Kimironko,1995,6,0,0,1,2025,868401
69,Gisozi,2023,1,0,1,0,2021,70000
215,Remera,2021,3,0,1,0,2024,1004810
175,Gacuriro,1998,2,1,1,1,2025,1400001
370,Nyarutarama,2022,2,0,0,1,2024,1648419
233,Kimironko,2010,5,1,1,1,2023,935883
372,Gisozi,2003,1,1,1,1,2023,739061
213,Kimihurura,2002,2,1,1,1,2025,1391076
309,Kicukiro,2007,2,1,1,1,2021,459822
319,Kanombe,2004,4,0,1,1,2026,942360
188,Kimironko,2024,5,1,0,1,2024,859321
325,Kimihurura,2013,4,1,1,1,2025,1724089
69,Kimironko,2023,4,1,1,1,2021,526956
384,Gisozi,2003,1,0,1,1,2025,860409
370,Remera,2021,5,1,1,1,2024,1583342
201,Gacuriro,2007,4,1,1,1,2025,1557228
112,Gisozi,2000,5,0,1,1,2023,445205
162,Kanombe,2015,6,0,1,1,2025,686244
342,Kiyovu,2015,5,0,1,1,2021,1311708
307,Kimihurura,2023,2,1,1,0,2026,1653189
166,Kiyovu,2000,2,1,1,1,2024,903903
219,Gacuriro,2009,3,1,1,1,2022,1053054
247,Kimironko,2012,5,1,1,1,2024,1096745
328,Kimironko,2017,6,0,1,1,2024,1269994
384,Nyarutarama,1999,6,0,1,1,2021,1746983
375,Gisozi,2010,3,1,0,0,2026,971724
324,Gacuriro,2022,3,0,1,1,2023,1408083
63,Kacyiru,2009,4,1,1,1,2021,559706
91,Kimironko,2006,2,0,1,1,2023,429077
352,Kimironko,2005,2,1,1,1,2022,637199
92,Kiyovu,2009,6,1,1,1,2026,1505247
293,Kanombe,2006,3,0,1,1,2024,599659
137,Kimironko,2023,5,1,1,0,2024,748223
285,Kiyovu,2013,6,1,1,1,2023,1714489
308,Kacyiru,2000,3,1,1,1,2026,1246759
229,Kiyovu,2024,3,1,1,1,2026,1662588
35,Gisozi,2020,4,0,0,0,2022,193902
348,Kanombe,2002,1,1,1,1,2022,521107
123,Kanombe,2023,4,1,1,0,2025,700726
348,Kacyiru,2021,4,1,1,1,2026,1516745
112,Kanombe,2004,1,0,1,0,2023,151365
370,Gacuriro,2011,1,1,1,1,2022,1478742
240,Nyarutarama,2024,1,1,1,1,2026,1768407
288,Kanombe,2005,2,1,1,1,2025,686877
146,Kacyiru,2019,2,1,1,1,2026,699644
133,Kimihurura,2010,6,1,0,1,2021,600932
255,Kimironko,1997,4,0,1,1,2024,866528
120,Kicukiro,2018,6,0,1,1,2023,559055
72,Gisozi,2009,5,0,1,1,2023,419115
72,Kimihurura,1996,1,0,0,1,2024,335873
295,Nyarutarama,2023,6,1,1,1,2023,1883541
155,Kacyiru,2019,1,1,1,1,2026,834312
209,Remera,2009,1,0,1,1,2022,486891
276,Kicukiro,2007,1,1,1,1,2026,683312
351,Gisozi,2022,2,1,1,0,2023,815467
215,Nyarutarama,2004,2,0,1,1,2023,1058502
101,Kimironko,1996,6,1,1,1,2025,1036206
211,Kimihurura,2004,3,0,1,1,2024,1051919
265,Kimironko,2019,6,0,0,1,2026,1184257
36,Kanombe,2014,2,1,0,1,2024,291480
231,Kimihurura,2012,5,0,1,1,2026,1489316
375,Gisozi,1997,4,1,1,1,2023,875916
56,Kimihurura,2004,4,1,1,1,2022,754115
47,Kimihurura,2012,4,0,0,1,2021,305066
305,Kiyovu,2013,1,0,1,1,2023,1015435
197,Kimironko,2021,4,0,1,1,2025,872131
175,Kimihurura,2018,2,1,0,1,2025,1219425
71,Gisozi,2024,6,0,1,0,2023,418163
82,Kimironko,2011,1,1,1,1,2021,217159
72,Kacyiru,1999,1,1,0,1,2022,212198
239,Remera,2022,1,1,1,1,2024,881231
182,Kimironko,2001,1,0,0,1,2023,374938
293,Kicukiro,1995,4,1,0,1,2026,979819
325,Kimironko,2000,1,1,1,1,2026,1072910
390,Kimironko,2015,6,1,1,1,2021,856343
207,Gacuriro,2016,6,1,1,1,2024,1762525
145,Kanombe,2024,3,1,1,1,2026,667570
371,Kimironko,1997,5,1,1,1,2024,1231599
77,Remera,2004,5,1,0,1,2026,785039
104,Gisozi,2001,4,1,0,1,2023,365856
167,Kimironko,2008,3,1,1,1,2026,815738
44,Kanombe,2014,5,0,1,1,2021,352630
294,Kanombe,2019,3,1,1,1,2021,527026
300,Kanombe,2015,5,1,1,0,2021,388324
343,Gisozi,2020,1,1,0,1,2023,658005
237,Nyarutarama,2006,2,1,0,0,2025,1263811
90,Kimihurura,2014,2,1,1,1,2024,793838
71,Kanombe,2011,6,0,1,1,2026,753577
293,Remera,2010,6,1,0,1,2026,1533203
320,Kacyiru,2000,3,1,1,1,2024,1066011
115,Kicukiro,2005,5,0,1,1,2024,670170
219,Kimihurura,2019,2,1,1,1,2021,1065077
233,Kicukiro,1997,2,1,1,1,2021,316867
200,Kiyovu,2014,4,1,1,0,2025,1379906
258,Kimihurura,2015,5,0,1,1,2023,1184235
86,Kacyiru,2001,6,0,1,1,2022,608267
97,Kiyovu,2010,1,1,1,1,2023,756048
363,Kacyiru,2001,6,1,1,1,2025,1563872
57,Kicukiro,2005,4,0,1,1,2023,288027
295,Kicukiro,2012,5,1,1,1,2025,1047154
287,Kanombe,2007,3,1,0,1,2024,760584
163,Kicukiro,2015,6,0,1,1,2021,356615
121,Kiyovu,2013,5,0,1,1,2021,719666
249,Kanombe,1997,5,1,1,0,2024,679050
34,Kanombe,2007,2,0,1,1,2021,119676
67,Remera,1998,6,1,1,1,2025,1067642
99,Remera,1996,6,1,1,1,2024,948479
35,Kacyiru,1997,1,1,1,1,2026,525742
265,Kacyiru,2019,4,0,0,1,2024,877428
384,Kimironko,2007,3,1,0,1,2021,574920
66,Kimihurura,2016,2,0,1,1,2022,353631
223,Remera,2007,6,0,0,1,2023,921668
151,Gisozi,1999,6,1,1,1,2023,786265
179,Kanombe,2012,1,0,0,1,2021,98224
240,Kanombe,1995,4,1,1,1,2025,770937
134,Kacyiru,2014,5,0,1,1,2025,703142
35,Gisozi,2002,6,0,1,1,2026,567874
168,Nyarutarama,1996,4,1,1,1,2021,1113318
337,Remera,2017,1,1,0,1,2021,674403
271,Kacyiru,2024,4,1,1,1,2023,965484
168,Kicukiro,2002,5,0,0,1,2024,664349
331,Kanombe,2014,3,1,1,1,2022,500760
327,Gacuriro,2011,1,1,0,1,2026,1901799
394,Kicukiro,2021,2,1,1,1,2022,784876
